,R,G,B,hist,framenum,frameName
0,13.10625,8.478125,5.7,0.32,23.0,monstruo/monstruo-023.png
1,17.5489361702,11.8042553191,7.8085106383,0.235,23.0,monstruo/monstruo-023.png
2,9.74863387978,5.07650273224,3.15300546448,0.183,23.0,monstruo/monstruo-023.png
3,22.4,16.0727272727,11.1393939394,0.165,23.0,monstruo/monstruo-023.png
4,32.125,21.5,13.9285714286,0.056,23.0,monstruo/monstruo-023.png
5,13.696969697,10.5151515152,18.1212121212,0.033,23.0,monstruo/monstruo-023.png
6,19.7142857143,21.0,48.1428571429,0.007,23.0,monstruo/monstruo-023.png
7,65.0,76.0,120.0,0.001,23.0,monstruo/monstruo-023.png
0,11.0809399478,6.65274151436,4.41775456919,0.382,24.0,monstruo/monstruo-024.png
1,15.5956112853,10.7648902821,8.66457680251,0.32,24.0,monstruo/monstruo-024.png
2,22.8408163265,16.2897959184,11.4612244898,0.245,24.0,monstruo/monstruo-024.png
3,38.2692307692,27.0769230769,18.0,0.026,24.0,monstruo/monstruo-024.png
4,13.7777777778,14.0,32.0555555556,0.018,24.0,monstruo/monstruo-024.png
5,39.5,64.5,128.0,0.004,24.0,monstruo/monstruo-024.png
6,10.5,28.5,79.5,0.004,24.0,monstruo/monstruo-024.png
7,66.0,123.0,212.0,0.001,24.0,monstruo/monstruo-024.png
0,12.771043771,8.2962962963,6.16835016835,0.297,25.0,monstruo/monstruo-025.png
1,17.009009009,11.8513513514,8.64864864865,0.222,25.0,monstruo/monstruo-025.png
2,23.0590909091,16.7636363636,11.75,0.22,25.0,monstruo/monstruo-025.png
3,9.59390862944,4.93908629442,3.14720812183,0.197,25.0,monstruo/monstruo-025.png
4,32.0652173913,22.9782608696,16.3695652174,0.046,25.0,monstruo/monstruo-025.png
5,12.5384615385,12.6153846154,37.4615384615,0.013,25.0,monstruo/monstruo-025.png
6,40.6666666667,103.333333333,196.0,0.003,25.0,monstruo/monstruo-025.png
7,43.5,43.5,67.0,0.002,25.0,monstruo/monstruo-025.png
0,14.6426512968,8.03458213256,7.47262247839,0.347,26.0,monstruo/monstruo-026.png
1,17.4332129964,10.9783393502,8.38267148014,0.277,26.0,monstruo/monstruo-026.png
2,10.9641255605,5.70852017937,5.21076233184,0.223,26.0,monstruo/monstruo-026.png
